applicant_id,actual_default
B00001,1
B00002,0
B00003,1
B00004,0
B00005,0
B00006,0
B00007,0
B00008,0
B00009,0
B00010,0
B00011,0
B00012,0
B00013,1
B00014,0
B00015,0
B00016,0
B00017,0
B00018,0
B00019,1
B00020,0
B00021,0
B00022,0
B00023,0
B00024,1
B00025,0
B00026,0
B00027,0
B00028,0
B00029,1
B00030,0
B00031,0
B00032,0
B00033,0
B00034,0
B00035,0
B00036,0
B00037,1
B00038,0
B00039,0
B00040,0
B00041,0
B00042,0
B00043,0
B00044,1
B00045,0
B00046,0
B00047,0
B00048,0
B00049,0
B00050,1
B00051,1
B00052,0
B00053,1
B00054,1
B00055,0
B00056,0
B00057,1
B00058,0
B00059,0
B00060,0
B00061,1
B00062,0
B00063,1
B00064,0
B00065,0
B00066,0
B00067,1
B00068,1
B00069,0
B00070,0
B00071,0
B00072,0
B00073,0
B00074,1
B00075,0
B00076,0
B00077,0
B00078,0
B00079,0
B00080,0
B00081,0
B00082,0
B00083,0
B00084,0
B00085,0
B00086,0
B00087,0
B00088,0
B00089,0
B00090,0
B00091,0
B00092,1
B00093,0
B00094,0
B00095,0
B00096,0
B00097,1
B00098,1
B00099,0
B00100,0
B00101,0
B00102,0
B00103,1
B00104,1
B00105,1
B00106,0
B00107,0
B00108,0
B00109,0
B00110,1
B00111,1
B00112,0
B00113,0
B00114,0
B00115,0
B00116,0
B00117,0
B00118,0
B00119,0
B00120,0
B00121,0
B00122,0
B00123,1
B00124,0
B00125,0
B00126,1
B00127,0
B00128,0
B00129,0
B00130,1
B00131,0
B00132,0
B00133,0
B00134,0
B00135,0
B00136,1
B00137,0
B00138,0
B00139,0
B00140,0
B00141,0
B00142,0
B00143,1
B00144,0
B00145,0
B00146,1
B00147,1
B00148,0
B00149,0
B00150,0
B00151,0
B00152,1
B00153,1
B00154,0
B00155,0
B00156,0
B00157,0
B00158,0
B00159,0
B00160,1
B00161,1
B00162,0
B00163,0
B00164,0
B00165,1
B00166,0
B00167,0
B00168,0
B00169,0
B00170,0
B00171,0
B00172,1
B00173,0
B00174,0
B00175,0
B00176,0
B00177,0
B00178,0
B00179,1
B00180,0
B00181,0
B00182,0
B00183,0
B00184,0
B00185,1
B00186,0
B00187,0
B00188,1
B00189,0
B00190,1
B00191,0
B00192,0
B00193,0
B00194,0
B00195,1
B00196,0
B00197,1
B00198,0
B00199,0
B00200,0
B00201,0
B00202,0
B00203,0
B00204,0
B00205,0
B00206,0
B00207,1
B00208,1
B00209,0
B00210,0
B00211,0
B00212,0
B00213,0
B00214,0
B00215,0
B00216,0
B00217,0
B00218,0
B00219,0
B00220,0
B00221,0
B00222,0
B00223,0
B00224,1
B00225,0
B00226,0
B00227,1
B00228,0
B00229,0
B00230,0
B00231,1
B00232,0
B00233,0
B00234,1
B00235,0
B00236,0
B00237,0
B00238,1
B00239,1
B00240,0
B00241,0
B00242,0
B00243,1
B00244,1
B00245,0
B00246,1
B00247,0
B00248,0
B00249,0
B00250,0
B00251,0
B00252,0
B00253,1
B00254,0
B00255,0
B00256,0
B00257,1
B00258,0
B00259,0
B00260,0
B00261,0
B00262,0
B00263,0
B00264,1
B00265,1
B00266,1
B00267,0
B00268,0
B00269,0
B00270,1
B00271,0
B00272,0
B00273,0
B00274,0
B00275,1
B00276,0
B00277,0
B00278,1
B00279,0
B00280,0
B00281,0
B00282,0
B00283,0
